Manufacturer,Model,Sales_in_thousands,__year_resale_value,Vehicle_type,Price,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor
Acura,Integra,16.919,16.36,Passenger,21500.0,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28.0,2-2.2012,58.28014952
Acura,TL,39.384,19.875,Passenger,28400.0,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25.0,6/3/2011,91.37077766
Acura,CL,14.114,18.225,Passenger,27000.0,3.2,225.0,106.9,70.6,192.0,3.47,17.2,26.0,1/4.2012,85.23
Acura,RL,8.588,29.725,Passenger,42000.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0,3/10/2011,91.38977933
Audi,A4,20.397,22.255,Passenger,23990.0,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27.0,10/8/2011,62.7776392
Audi,A6,18.78,23.555,Passenger,33950.0,2.8,200.0,108.7,76.1,192.0,3.561,18.5,22.0,8/9/2011,84.56510502
Audi,A8,1.38,39.0,Passenger,62000.0,4.2,310.0,113.0,74.0,198.2,3.902,23.7,21.0,2/27/2012,134.6568582
BMW,323i,19.747,,Passenger,26990.0,2.5,170.0,107.3,68.4,176.0,3.179,16.6,26.0,6/28/2011,71.19120671
BMW,328i,9.231,28.675,Passenger,33400.0,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24.0,1/29/2012,81.87706856
BMW,528i,17.527,36.125,Passenger,38900.0,2.8,193.0,111.4,70.9,188.0,3.472,18.5,25.0,4/4/2011,83.9987238
Buick,Century,91.561,12.475,Passenger,21975.0,3.1,175.0,109.0,72.7,194.6,3.368,17.5,25.0,11-2-2011,71.18145132
Buick,Regal,39.35,13.74,Passenger,25300.0,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23.0,9/3/2011,95.63670253
Buick,Park Avenue,27.851,20.19,Passenger,31965.0,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24.0,3/23/2012,85.82840825
Buick,LeSabre,83.257,13.36,Passenger,27885.0,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25.0,7/23/2011,84.25452581
Cadillac,DeVille,63.729,22.525,,39895.0,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22.0,2/23/2012,113.8545976
Cadillac,Seville,15.943,27.1,Passenger,44475.0,4.6,275.0,112.2,75.0,201.0,3.9,18.5,22.0,4/29/2011,115.6213578
Cadillac,Eldorado,6.536,25.725,Passenger,39665.0,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0,11/27/2011,113.7658739
Cadillac,Catera,11.185,18.225,Passenger,31010.0,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22.0,9/28/2011,83.48309358
Cadillac,Escalade,14.785,,Car,46225.0,5.7,255.0,117.5,77.0,201.2,5.572,30.0,15.0,4-1-2012,109.5091165
Chevrolet,Cavalier,145.519,9.25,Passenger,13260.0,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27.0,08/17/11,46.36334747
Chevrolet,Malibu,135.126,11.225,Passenger,16535.0,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25.0,3/19/2012,67.31446216
Chevrolet,Lumina,24.629,10.31,Passenger,18890.0,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25.0,5/24/2011,69.9913956
Chevrolet,Monte Carlo,42.593,11.525,Passenger,19390.0,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27.0,12/22/2011,72.03091719
Chevrolet,Camaro,26.402,13.025,Passenger,24340.0,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25.0,10/23/2011,81.11854333
Chevrolet,Corvette,17.947,36.225,Passenger,45705.0,5.7,345.0,104.5,73.6,179.7,3.21,19.1,22.0,5/12/2012,141.14115
Chevrolet,Prizm,32.299,9.125,Passenger,13960.0,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33.0,9/11/2011,48.2976361
Chevrolet,Metro,21.855,5.16,Passenger,9235.0,1.0,55.0,93.1,62.6,149.4,1.895,10.3,45.0,4/13/2012,23.27627233
Chevrolet,Impala,107.995,,Passenger,18890.0,3.4,180.0,110.5,73.0,200.0,3.389,17.0,27.0,6/18/2011,71.83803944
Chrysler,Sebring Coupe,7.854,12.36,Passenger,19840.0,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0,1/16/2012,65.95718396
Chrysler,Sebring Conv.,32.775,14.18,Passenger,24495.0,2.5,168.0,106.0,69.2,193.0,3.332,16.0,24.0,11/17/2011,69.52135505
,Concorde,31.148,13.725,Passenger,22245.0,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26.0,6/6/2012,80.02378204
Chrysler,Cirrus,32.306,12.64,Passenger,16480.0,2.0,132.0,108.0,71.0,186.0,2.911,16.0,27.0,10/6/2011,53.56619987
Chrysler,LHS,13.462,17.325,Passenger,28340.0,3.5,253.0,113.0,74.4,207.7,3.564,17.0,23.0,5/8/2012,101.3292807
Chrysler,Town & Country,53.48,19.54,Car,,,,,,,,,,7-13-2011,
Chrysler,300M,30.696,,Passenger,29185.0,3.5,253.0,113.0,74.4,197.8,3.567,17.0,23.0,2/10/2012,101.6552441
Dodge,Neon,76.034,7.75,Passenger,174640.0,2.0,132.0,105.0,74.4,174.4,2.567,12.5,29.0,12/12/2011,52.08489875
Dodge,Avenger,4.734,12.545,Passenger,19045.0,2.5,163.0,103.7,69.1,190.2,2.879,15.9,24.0,7/1/2012,65.65050834
Dodge,Stratus,71.186,10.185,Passenger,200230.0,2.5,168.0,108.0,71.0,186.0,3.058,16.0,24.0,10/31/2011,67.87610784
Dodge,Intrepid,88.028,12.275,Passenger,22505.0,2.7,202.0,113.0,74.7,203.7,3.489,17.0,20.0,6/2/2012,80.83147017
Dodge,Viper,0.916,58.47,Passenger,69725.0,8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0,8/7/2011,188.144323
Dodge,Ram Pickup,227.061,15.06,Car,19460.0,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17.0,3/6/2012,90.21170005
Dodge,Ram Wagon,16.767,15.51,Car,21315.0,3.9,175.0,109.6,78.8,192.6,4.245,32.0,15.0,1/6/2012,71.13529161
Dodge,Ram Van,31.038,13.425,Car,18575.0,3.9,175.0,127.2,78.8,208.5,4.298,32.0,16.0,7/26/2012,70.07832154
Dodge,Dakota,111.313,11.26,Car,16980.0,2.5,120.0,131.0,71.5,215.0,3.557,22.0,19.0,11/25/2011,49.64500177
Dodge,Durango,101.323,,Car,26310.0,5.2,230.0,115.7,71.7,193.5,4.394,25.0,17.0,6/27/2012,92.85412522
Dodge,Caravan,181.749,12.025,Car,19565.0,2.4,150.0,113.3,76.8,186.3,3.533,20.0,24.0,9/1/2011,61.22700031
Ford,Escort,70.227,7.425,,12070.0,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30.0,3/31/2012,44.08370946
Ford,Mustang,113.369,12.76,Passenger,21560.0,3.8,190.0,101.3,73.1,183.2,3.203,15.7,24.0,1/31/2012,76.50918456
Ford,Contour,35.068,8.835,Passenger,177035.0,2.5,170.0,106.5,69.1,184.6,2.769,15.0,25.0,8/20/2012,67.35101072
Ford,Taurus,245.815,10.055,Passenger,17885.0,3.0,155.0,108.5,73.0,197.6,3.368,16.0,24.0,12/20/2011,62.5037395
Ford,Focus,175.67,,Passenger,12315.0,2.0,107.0,103.0,66.9,174.8,2.564,13.2,30.0,7/22/2012,43.11713201
Ford,Crown Victoria,63.403,14.21,Passenger,22195.0,4.6,200.0,114.7,78.2,212.0,3.908,19.0,21.0,9/26/2011,80.49953671
Ford,Explorer,276.747,16.64,Car,31930.0,4.0,210.0,111.6,70.2,190.7,3.876,21.0,19.0,4/25/2012,87.63549578
Ford,Windstar,155.787,13.175,Car,21410.0,3.0,150.0,120.7,76.6,200.9,3.761,26.0,21.0,2/25/2012,62.09504839
Ford,Expedition,125.338,23.575,Car,36135.0,4.6,240.0,119.0,78.7,204.6,4.808,26.0,16.0,9/14/2012,100.0248023
Ford,Ranger,220.65,7.85,Car,12050.0,2.5,119.0,117.5,69.4,200.7,3.086,20.0,23.0,1/14/2012,47.38953131
Ford,F-Series,540.561,15.075,,26935.0,4.6,220.0,138.5,79.1,224.5,4.241,25.1,18.0,8/16/2012,89.40193473
Honda,Civic,199.685,9.85,Passenger,12885.0,1.6,106.0,103.2,67.1,175.1,2.339,11.9,32.0,10/21/2011,42.87909734
,Accord,230.902,13.21,Passenger,15350.0,2.3,135.0,106.9,70.3,188.8,2.932,17.1,27.0,5/20/2012,54.26954829
Honda,CR-V,73.203,17.71,Car,20550.0,2.0,146.0,103.2,68.9,177.6,3.219,15.3,24.0,3/21/2012,60.08796662
Honda,Passport,12.855,17.525,Car,26600.0,3.2,205.0,106.4,70.4,178.2,3.857,21.1,19.0,10/9/2012,83.6025008
Honda,Odyssey,76.029,19.49,Car,26000.0,3.5,210.0,118.1,75.6,201.2,4.288,20.0,23.0,2/8/2012,85.21769134
Hyundai,Accent,41.184,5.86,Passenger,9699.0,1.5,92.0,96.1,65.7,166.7,2.24,11.9,31.0,9/10/2012,36.67228358
Hyundai,Elantra,66.692,7.825,Passenger,11799.0,2.0,140.0,100.4,66.9,174.0,2.626,14.5,27.0,11/15/2011,54.59004516
Hyundai,Sonata,29.45,8.91,,14999.0,2.4,148.0,106.3,71.6,185.4,3.072,17.2,25.0,6/14/2012,58.758249
Infiniti,I30,23.713,19.69,Passenger,29465.0,3.0,227.0,108.3,70.2,193.7,3.342,18.5,25.0,4/15/2012,92.43688923
Jaguar,S-Type,15.467,,Passenger,42800.0,3.0,240.0,114.5,71.6,191.3,3.65,18.4,21.0,11/3/2012,102.1789848
Jeep,Wrangler,55.557,13.475,Car,14460.0,2.5,120.0,93.4,66.7,152.0,3.045,19.0,17.0,3/4/2012,48.67289791
Jeep,Cherokee,80.556,13.775,Car,21620.0,4.0,190.0,101.4,69.4,167.5,3.194,20.0,20.0,10/5/2012,76.58443962
Jeep,Grand Cherokee,157.04,18.81,Car,26895.0,4.0,195.0,105.9,72.3,181.5,3.88,20.5,19.0,12/10/2011,80.38777912
Lexus,ES300,24.072,26.975,Passenger,31505.0,3.0,210.0,105.1,70.5,190.2,3.373,18.5,23.0,7/9/2012,87.21100104
Lexus,GS300,12.698,32.075,Passenger,37805.0,3.0,225.0,110.2,70.9,189.2,3.638,19.8,23.0,5/10/2012,94.9466984
,GS400,3.334,,Passenger,46305.0,4.0,300.0,110.2,70.9,189.2,3.693,19.8,21.0,11/28/2012,125.0133574
Lexus,LS400,6.375,40.375,Passenger,54005.0,4.0,290.0,112.2,72.0,196.7,3.89,22.5,22.0,3/29/2012,124.4467163
Lexus,LX470,9.126,,,60105.0,4.7,230.0,112.2,76.4,192.5,5.401,25.4,15.0,10/30/2012,105.760458
Lexus,RX300,51.238,,Car,34605.0,3.0,220.0,103.0,71.5,180.1,3.9,17.2,21.0,1/4/2012,91.94380156
Lincoln,Continental,13.798,20.525,Passenger,39080.0,4.6,275.0,109.0,73.6,208.5,3.868,20.0,22.0,8/3/2012,113.5402069
Lincoln,Town car,48.911,21.725,Passenger,43330.0,4.6,215.0,117.7,78.2,215.3,4.121,19.0,21.0,6/4/2012,93.9579169
Lincoln,Navigator,22.925,,Car,42660.0,5.4,300.0,119.0,79.9,204.8,5.393,30.0,15.0,12/23/2012,123.9720467
Mitsubishi,Mirage,26.232,8.325,Passenger,13987.0,1.8,113.0,98.4,66.5,173.6,2.25,13.2,30.0,4/23/2012,45.83218056
Mitsubishi,Eclipse,42.541,10.395,Passenger,19047.0,2.4,154.0,100.8,68.9,175.4,2.91,15.9,24.0,11/24/2012,62.44196235
Mitsubishi,Galant,55.616,10.595,Passenger,17357.0,2.4,145.0,103.7,68.5,187.8,2.945,16.3,25.0,1/29/2012,58.60677292
Mitsubishi,Diamante,5.711,16.575,Passenger,24997.000000000004,3.5,210.0,107.1,70.3,194.1,3.443,19.0,22.0,8/28/2012,84.83077858
Mitsubishi,3000GT,0.11,20.94,Passenger,25450.0,3.0,161.0,97.2,72.4,180.3,3.131,19.8,21.0,6/29/2012,67.54415494
Mitsubishi,Montero,11.337,19.125,Car,31807.000000000004,3.5,200.0,107.3,69.9,186.6,4.52,24.3,18.0,1/17/2012,83.92081504
Mitsubishi,Montero Sport,39.348,13.88,Car,22527.000000000004,3.0,173.0,107.3,66.7,178.3,3.51,19.5,20.0,5/18/2012,70.66094179
Mercury,Mystique,14.351,8.8,Passenger,16240.0,2.0,125.0,106.5,69.1,184.8,2.769,15.0,28.0,12/19/2012,50.99774761
Mercury,Cougar,26.529,13.89,Passenger,16540.0,2.0,125.0,106.4,69.6,185.0,2.892,16.0,30.0,2/23/2012,51.11347426
Mercury,Sable,67.956,11.03,Passenger,19035.0,3.0,153.0,108.5,73.0,199.7,3.379,16.0,24.0,9/22/2012,62.23996663
Mercury,Grand Marquis,81.174,14.875,Passenger,22605.0,4.6,200.0,114.7,78.2,212.0,3.958,19.0,21.0,7/24/2012,80.65769646
Mercury,Mountaineer,27.609,20.43,Car,27560.0,4.0,210.0,111.6,70.2,190.1,3.876,21.0,18.0,2/13/2008,85.94974425
Mercury,Villager,20.38,14.795,Car,22510.0,3.3,170.0,112.2,74.9,194.7,3.944,20.0,21.0,10/20/2009,69.671461
Mercedes-B,C-Class,18.392,26.05,Passenger,31750.0,2.3,185.0,105.9,67.7,177.4,3.25,16.4,26.0,4/24/2011,78.28073088
Mercedes-B,E-Class,27.602,41.45,Passenger,49900.0,3.2,221.0,111.5,70.8,189.4,3.823,21.1,25.0,7/12/2011,98.2497375
Mercedes-B,S-Class,16.774,50.375,Passenger,69700.0,4.3,275.0,121.5,73.1,203.1,4.133,23.2,21.0,6/13/2011,125.2738757
Mercedes-B,SL-Class,3.311,58.6,Car,82600.0,5.0,302.0,99.0,71.3,177.1,4.125,21.1,20.0,3/17/2011,139.9822936
Mercedes-B,SLK,7.998,,,38900.0,2.3,190.0,94.5,67.5,157.9,3.055,15.9,26.0,1/16/2011,82.80736193
Mercedes-B,SLK230,1.526,,Passenger,41000.0,2.3,185.0,94.5,67.5,157.3,2.975,14.0,27.0,8/6/2011,81.84896924
,CLK Coupe,11.592,,Passenger,41600.0,3.2,215.0,105.9,67.8,180.3,3.213,16.4,26.0,7/8/2011,92.92579177
Mercedes-B,CL500,0.954,,Passenger,85500.0,5.0,302.0,113.6,73.1,196.6,4.115,23.2,20.0,4/11/2011,141.1009845
Mercedes-B,M-Class,28.976,,Car,35300.0,3.2,215.0,111.0,72.2,180.6,4.387,19.0,20.0,2/10/2011,90.49553213
Nissan,Sentra,42.643,8.45,Passenger,13499.0,1.8,126.0,99.8,67.3,177.5,2.593,13.2,30.0,8/31/2011,50.24197791
Nissan,Altima,88.094,11.295,Passenger,20390.0,2.4,155.0,103.1,69.1,183.5,3.012,15.9,25.0,8/2/2011,63.31372783
Nissan,Maxima,79.853,15.125,Passenger,26249.0,3.0,222.0,108.3,70.3,190.5,3.294,18.5,25.0,5/6/2011,89.42782031
Nissan,Quest,27.308,15.38,Car,26399.0,3.3,170.0,112.2,74.9,194.8,3.991,20.0,21.0,3/7/2011,71.17166413
Nissan,Pathfinder,42.574,17.81,Car,29299.0,3.3,170.0,106.3,71.7,182.6,3.947,21.0,19.0,9/25/2011,72.29035508
Nissan,Xterra,54.158,,Car,22799.0,3.3,170.0,104.3,70.4,178.0,3.821,19.4,18.0,1/24/2011,69.78294434
Nissan,Frontier,65.005,,Car,17890.0,3.3,170.0,116.1,66.5,196.1,3.217,19.4,18.0,8/27/2011,67.88927059
Oldsmobile,Cutlass,1.112,11.24,Passenger,18145.0,3.1,150.0,107.0,69.4,192.0,3.102,15.2,25.0,5/31/2011,60.86161155
Oldsmobile,Intrigue,38.554,,Passenger,24150.0,3.5,215.0,109.0,73.6,195.9,3.455,18.0,21.0,4/1/2011,86.27252291
Oldsmobile,Alero,80.255,,Passenger,18270.0,2.4,150.0,107.0,70.1,186.7,2.958,15.0,27.0,10/20/2009,60.72744693
